release_year,length,genre,rating,imdb_votes,gross_US_CA,imdb_score
1994,142,7,13,2729077,28.34,9.3
2008,152,0,11,2702046,534.86,9.0
2010,148,0,11,2398216,292.58,8.8
1999,139,7,13,2171981,37.03,8.8
1994,142,7,11,2123029,330.25,8.8
1994,154,6,13,2096761,107.93,8.9
1999,136,0,13,1946928,171.48,8.7
2001,178,0,11,1906385,315.54,8.8
1972,175,6,13,1897394,134.97,9.2
2014,169,2,11,1891728,188.02,8.6
2003,201,0,11,1877377,377.85,9.0
2012,164,0,11,1732588,448.14,8.4
2002,179,0,11,1694852,342.55,8.8
1995,127,6,13,1686687,100.13,8.6
2012,165,7,13,1589041,162.81,8.4
2000,155,0,13,1527291,187.71,8.5
2005,140,0,11,1495218,206.85,8.2
2009,153,2,13,1482068,120.54,8.3
1991,118,6,13,1459317,130.74,8.6
2013,180,4,13,1451244,116.9,8.2
1998,169,7,13,1415938,216.54,8.6
2012,143,0,11,1409722,623.28,8.0
1977,121,0,10,1386227,322.74,8.6
1993,195,4,13,1378031,96.9,9.0
2006,130,7,11,1357039,53.09,8.5
2010,138,15,13,1350199,128.01,8.2
2006,151,6,13,1348723,132.38,8.5
2019,122,6,13,1339193,335.45,8.4
2009,162,0,11,1336492,760.51,7.9
1999,189,6,13,1326913,136.8,8.6
1980,124,0,10,1313834,290.48,8.7
1974,202,6,13,1293774,57.3,9.0
2000,113,15,13,1257720,25.54,8.4
1985,116,2,10,1230423,210.61,8.5
1997,194,7,11,1213306,659.33,7.9
2014,121,0,11,1200282,333.18,8.0
1990,145,4,13,1184394,46.84,8.7
1994,110,0,13,1182355,19.5,8.5
1999,122,7,13,1169455,130.1,8.4
2019,181,0,11,1167897,858.37,8.4
2003,143,0,11,1147566,305.41,8.1
1998,119,6,13,1138559,6.72,8.5
2005,132,0,13,1136610,70.51,8.2
2008,98,3,4,1136308,223.81,8.4
2003,111,0,13,1135015,70.1,8.2
1991,137,0,13,1117471,204.84,8.6
2018,149,0,11,1112376,678.82,8.4
1998,103,5,10,1109070,125.62,8.2
1995,106,6,13,1100001,23.34,8.5
1994,88,3,4,1078610,422.78,8.5
2008,126,0,11,1076668,318.41,7.9
1983,131,0,10,1071283,309.13,8.3
2009,96,3,10,1063213,293.0,8.3
2003,100,3,4,1061153,380.84,8.2
2016,108,0,13,1060543,363.07,8.0
1995,178,4,13,1051726,75.6,8.4
1980,146,7,13,1042780,44.02,8.4
1992,99,6,13,1037528,2.83,8.3
2004,108,7,13,1026165,34.4,8.3
2015,120,0,13,1023848,154.06,8.1
1975,133,7,13,1023765,112.0,8.7
2002,141,4,11,1012832,164.62,8.1
1995,81,3,4,1012198,191.8,8.3
1993,127,0,11,1008346,402.45,8.2
1999,107,7,11,1006927,293.51,8.2
2014,149,7,13,1003146,167.77,8.1
1997,126,7,13,996455,138.43,8.3
2007,122,6,13,995319,74.28,8.2
1981,115,0,10,981615,248.16,8.4
2001,135,4,11,946352,170.74,8.2
2015,138,0,11,943694,936.66,7.8
2012,142,0,11,941362,408.01,7.2
2001,92,3,4,926848,289.92,8.1
1979,117,12,13,898366,78.9,8.5
1988,132,0,13,897882,83.01,8.2
2011,130,2,11,895341,381.01,8.1
2014,106,7,13,895059,13.09,8.5
1984,107,0,13,881092,38.4,8.1
2015,141,0,11,880208,459.01,7.3
2011,112,4,13,876407,13.18,8.5
2015,144,2,11,874009,228.43,8.0
2000,102,5,13,870072,30.33,8.2
2013,130,0,11,865036,409.01,7.1
2011,115,0,11,863717,181.03,7.0
2014,136,0,11,861531,259.77,7.8
1983,170,6,13,860219,45.6,8.3
2011,124,0,11,860042,176.65,6.9
2000,102,7,13,857496,3.64,8.3
1976,114,6,13,856741,28.26,8.2
2008,120,6,13,856383,141.32,8.0
2010,103,3,4,850673,415.0,8.3
2002,150,4,13,850139,32.57,8.5
1971,136,6,13,843864,6.21,8.3
2019,132,7,13,843212,53.37,8.5
2012,169,2,11,841069,303.0,7.8
2013,91,7,11,838071,274.09,7.7
2002,121,0,11,833451,403.71,7.4
2006,117,0,13,833373,210.61,7.6
2010,124,0,11,832312,312.43,6.9
2014,99,2,13,832162,59.1,8.1
2015,156,0,13,823404,183.64,8.0
1998,117,5,13,822981,17.5,8.1
1999,136,0,10,820210,474.54,6.5
2001,113,7,13,815832,1.48,8.0
1957,96,6,3,807297,4.36,9.0
2005,140,0,11,806988,380.26,7.6
2016,147,0,11,805976,408.08,7.8
2001,152,2,10,804417,317.58,7.6
2009,100,5,13,803088,277.32,7.7
2018,134,0,11,797254,700.06,7.3
2008,116,7,13,786490,148.1,8.1
2021,148,0,11,786336,804.75,8.2
2014,114,4,11,785472,91.13,8.0
2010,108,7,13,784593,106.95,8.0
1982,117,0,13,783909,32.87,8.1
2001,125,3,10,783368,10.06,8.6
2013,143,0,11,783114,291.05,7.1
2017,137,0,13,781936,226.28,8.1
2005,124,6,13,777368,74.1,8.0
2007,101,0,11,775891,256.39,7.2
1966,178,2,3,773553,6.1,8.8
2019,161,5,13,770831,142.5,7.6
2004,137,0,13,770387,66.21,8.0
2017,130,0,11,770248,315.06,7.9
2002,130,6,13,767545,7.56,8.6
1989,127,0,11,767536,197.17,8.2
2001,122,5,13,766958,33.23,8.3
2016,115,0,11,760298,232.64,7.5
2007,111,3,4,759822,206.45,8.1
2010,98,3,10,756632,217.58,8.1
2004,115,3,10,756103,261.44,8.0
1987,116,7,13,754775,46.36,8.3
2013,153,6,13,739088,61.0,8.1
2006,151,0,11,733057,423.32,7.3
2015,95,3,10,731163,356.46,8.1
1986,137,0,13,729108,85.16,8.4
2002,142,0,10,725279,310.68,6.6
2014,132,0,11,722473,233.92,7.9
2019,130,5,11,721309,165.36,7.9
2010,120,4,11,719312,96.96,7.8
2012,122,5,13,719298,132.09,7.7
2016,116,7,11,713748,100.55,7.9
2013,134,4,13,712923,56.67,8.1
2016,151,0,11,709619,330.36,6.4
1997,116,5,11,707589,57.6,8.6
2012,143,0,11,707393,304.36,7.8
2011,131,0,11,702389,146.41,7.7
2017,136,0,11,698985,389.81,7.6
1996,93,7,13,698272,16.5,8.1
2004,132,7,11,697415,100.49,8.1
2016,123,0,11,696589,325.1,5.9
2013,112,0,11,695878,206.36,6.8
2001,90,3,10,695544,267.67,7.9
2014,113,0,11,695455,100.21,7.9
2009,112,0,13,692268,115.65,7.9
2022,176,0,11,691809,369.35,7.8
2010,118,4,13,689839,138.8,8.0
1996,98,6,13,689648,24.61,8.1
2015,117,0,11,687807,180.2,7.3
2013,116,0,11,684068,202.36,7.0
1960,109,12,13,683786,32.0,8.5
2014,129,0,13,682045,128.26,7.7
1968,149,2,4,681593,56.95,8.3
2013,146,0,11,679875,424.67,7.5
2014,101,0,13,679592,43.04,7.4
1979,147,7,13,679021,83.47,8.5
2006,118,7,13,678490,37.63,8.2
2017,106,0,11,677561,188.37,7.8
2013,161,9,11,676181,258.37,7.8
2013,115,6,11,674935,117.72,7.2
2017,133,0,11,674552,334.2,7.4
2017,141,0,11,671120,412.56,7.4
1995,170,0,13,669449,67.44,8.3
2012,136,0,11,668711,262.03,6.9
2006,144,0,11,668387,167.45,8.0
2004,127,0,11,668090,373.59,7.4
2008,166,7,11,664590,127.51,7.8
2021,155,0,11,663884,108.33,8.0
2007,169,0,11,663787,309.42,7.1
2011,100,0,13,659508,35.06,7.8
2015,124,0,11,654205,652.27,6.9
2016,133,0,11,653741,532.18,7.8
2002,161,2,10,652758,261.99,7.4
2004,142,2,10,651807,249.36,7.9
2000,102,6,13,648868,15.07,7.6
2007,144,0,11,648620,319.25,7.0
1993,101,5,10,647137,70.91,8.0
2009,128,0,11,645770,209.03,7.6
2017,152,0,11,644372,620.18,6.9
2005,157,2,11,643339,290.01,7.7
2014,119,5,13,643087,42.34,7.7
2012,127,2,10,642637,124.99,7.9
2007,115,0,11,642190,227.47,8.0
2013,102,3,10,636688,400.74,7.4
2017,104,12,13,634563,176.04,7.7
2007,148,2,13,632691,18.35,8.1
2013,126,7,13,631292,25.57,8.0
1995,129,15,13,627286,57.14,8.0
2012,106,5,13,626672,218.82,6.9
2000,104,0,11,625098,157.3,7.3
2012,120,4,13,622838,136.03,7.7
1975,124,2,10,619980,260.0,8.1
2012,124,2,13,619435,126.48,7.0
2015,168,6,13,619417,54.12,7.8
2019,119,0,13,614462,159.23,8.2
2008,90,0,11,612483,145.0,7.8
2016,128,5,11,610498,151.1,8.0
2009,127,0,11,609063,257.73,7.9
2000,143,2,11,606038,233.63,7.8
2003,138,0,13,605890,281.49,7.2
2007,139,0,11,604061,336.53,6.3
1990,103,5,10,601803,285.76,7.7
2018,119,0,13,600035,324.59,7.6
2007,158,7,13,598931,40.22,8.2
2007,138,0,11,597752,292.0,7.5
2017,164,0,13,596894,92.05,8.0
2007,113,5,13,596331,121.46,7.6
1976,120,7,10,594611,117.24,8.1
1999,92,3,4,592583,245.85,7.9
1998,107,0,13,592577,3.9,8.1
2003,120,0,13,592365,0.71,8.4
2009,88,0,13,591846,75.59,7.6
1997,138,6,13,590888,64.62,8.2
2001,116,6,11,588081,183.42,7.7
2011,105,17,11,586174,79.25,7.4
2004,123,7,11,585243,81.0,7.8
2012,119,0,13,585163,66.49,7.4
1996,145,0,11,584402,306.17,7.0
1997,98,0,11,581230,250.69,7.3
1942,102,7,10,580891,1.02,8.5
2019,123,0,11,574982,426.83,6.8
2010,117,0,13,573088,48.07,7.6
2012,109,0,13,571912,138.45,7.2
2022,130,0,11,570557,718.73,8.3
2004,99,5,13,568623,13.54,7.9
2014,117,6,13,565174,32.38,7.8
2017,135,12,13,565023,327.48,7.3
2010,146,2,11,564529,295.98,7.7
2002,145,0,11,563016,132.07,7.6
2013,143,7,11,561984,144.84,7.2
2017,113,0,13,561247,107.83,7.6
2006,143,2,13,561166,57.37,8.0
2009,162,0,13,560937,107.51,7.6
2009,153,0,10,560855,301.96,7.6
2003,134,0,11,558888,214.95,7.4
2010,95,3,10,558193,251.51,7.6
2014,108,7,13,558141,25.44,7.7
2007,157,6,13,557802,33.08,7.7
2002,119,0,11,556435,121.66,7.9
2018,117,3,10,554744,190.24,8.4
2018,134,4,11,552481,216.43,7.9
2004,115,0,11,552093,144.8,7.1
1975,91,2,10,549600,1.23,8.2
2004,163,7,13,545806,133.38,7.3
2018,90,7,11,545531,188.02,7.5
1989,108,2,10,545103,118.5,7.8
2014,144,2,11,545026,255.12,7.4
2016,139,4,13,544457,67.21,8.1
2011,136,0,11,538867,241.06,6.6
2011,105,0,11,538073,176.76,7.6
2013,124,0,11,535739,89.02,7.0
1995,178,6,13,531512,42.44,8.2
2011,118,5,11,531200,84.35,7.4
2007,96,5,11,531017,143.5,7.5
2011,93,0,11,529257,54.71,7.5
2017,105,3,10,528189,209.73,8.4
2009,95,5,11,527784,32.39,7.7
2006,117,4,11,527250,163.57,8.0
2020,150,0,11,525242,58.46,7.3
2006,104,0,11,525005,234.36,6.6
1988,133,7,13,524572,178.8,8.0
2012,103,7,11,523772,17.74,7.9
2003,129,0,13,523188,139.31,6.7
2017,115,5,13,522649,54.51,8.1
2013,112,12,13,521464,137.4,7.5
2007,121,0,13,514879,23.64,7.8
2016,117,12,11,514152,138.29,7.3
2009,107,0,11,513647,179.88,6.5
2018,130,4,11,513363,85.08,8.2
2016,108,3,10,512810,341.27,8.0
2011,102,5,13,511522,254.46,6.5
2013,131,0,11,511032,101.8,6.9
2019,129,0,11,510503,390.53,7.4
2014,142,0,11,509683,202.85,6.6
2006,109,0,13,509468,35.55,7.9
2005,120,0,11,508839,186.34,6.5
2014,89,0,13,508702,126.66,6.4
2014,134,0,13,508183,85.82,7.5
1989,128,5,10,505816,95.86,8.1
2008,112,0,11,502616,134.52,6.6
2003,135,5,13,502295,59.7,7.6
1984,118,0,10,500895,179.87,7.5
2018,112,0,11,500785,213.52,6.6
1990,105,7,11,500715,56.36,7.9
1954,112,15,10,499677,36.76,8.5
2014,133,0,13,499645,350.13,7.3
2011,132,0,11,499407,209.4,7.4
2004,113,7,13,499351,57.94,7.6
1964,95,5,10,498289,0.28,8.4
2013,117,4,13,498237,27.3,7.9
2005,115,2,10,494186,206.46,6.7
2002,81,3,10,494140,176.39,7.5
2008,92,0,11,492837,227.95,6.4
2006,101,5,13,492747,59.89,7.8
2013,123,0,13,488765,26.95,8.1
2013,132,0,11,488290,228.78,7.7
2018,143,0,11,487642,335.06,6.8
2013,138,6,13,487021,150.12,7.2
2016,132,2,11,486128,234.04,7.2
2008,92,3,10,485397,215.43,7.6
1997,126,0,11,483656,63.54,7.6
2014,113,0,11,480700,102.43,6.8
2011,140,0,11,480048,13.66,8.2
2015,129,4,13,479831,45.06,8.1
2004,93,3,10,478251,436.47,7.3
2013,126,0,11,475675,132.56,6.7
2014,102,3,10,473352,222.53,7.8
2011,158,6,13,472286,102.52,7.8
2004,108,0,11,471672,176.24,7.7
1986,109,0,10,470852,179.8,6.9
2013,134,0,11,470735,107.1,7.8
2004,128,5,11,470409,77.87,7.4
2011,146,7,11,469891,169.71,8.1
2008,122,7,11,469843,192.77,5.3
2014,139,0,11,469728,150.95,6.6
2014,123,0,11,468568,337.14,6.6
2017,122,0,13,467381,92.03,7.4
2010,100,3,10,466014,200.82,7.7
2003,138,6,13,465711,90.14,7.9
2003,102,5,13,465208,44.59,7.7
2011,129,0,11,464165,186.85,7.4
2019,141,0,11,463952,515.2,6.5
2008,122,0,11,463319,317.1,6.2
1991,84,3,4,462321,218.97,8.0
2014,123,4,11,461691,35.89,7.7
2017,120,0,11,461069,229.02,6.1
2013,110,5,13,461041,150.39,7.0
2008,131,7,13,459653,17.02,7.5
2004,124,0,11,458160,186.74,6.4
1990,118,2,10,458004,87.73,7.4
2005,116,0,11,457908,234.28,6.5
2011,98,5,13,456431,117.54,6.9
2008,106,0,11,456274,168.37,6.6
2013,109,0,13,455698,93.05,6.6
2002,167,6,13,452090,77.81,7.5
2003,154,0,13,450096,111.11,7.8
2018,140,0,11,450092,137.69,7.4
2014,130,0,11,449758,208.55,7.6
2015,148,0,11,449154,200.07,6.8
1941,119,7,10,448706,1.59,8.3
2005,116,5,13,447717,109.45,7.1
2001,122,0,13,447717,76.63,7.7
2003,125,2,11,446941,66.26,8.0
2015,130,4,13,443983,70.26,7.8
2016,144,0,11,443836,155.44,6.9
2015,121,0,13,443143,46.89,7.6
2008,107,5,13,442954,7.76,7.9
2006,149,15,11,441980,217.54,6.6
1999,124,0,11,441804,155.25,7.1
2004,112,6,13,441505,54.58,7.7
2010,112,0,11,438793,31.49,7.5
1996,110,0,11,436377,180.98,7.1
2011,133,4,11,435892,75.61,7.6
1982,109,12,13,435740,13.78,8.2
2006,117,3,4,435594,244.08,7.2
1998,151,0,11,434493,201.57,6.7
1987,98,2,10,434376,30.86,8.0
2007,157,4,13,434367,130.16,7.8
2012,101,3,10,433778,189.42,7.7
2022,126,0,11,433757,411.33,6.9
1992,90,3,4,433042,217.35,8.0
2011,94,5,11,432959,56.82,7.7
2004,103,12,13,432608,56.0,7.6
2006,109,5,11,432409,124.74,6.9
1987,107,0,13,432375,59.74,7.8
2005,187,0,11,431591,218.08,7.2
2017,123,7,13,430409,63.86,7.3
2015,118,7,13,429618,14.68,8.1
2022,139,0,13,428767,72.86,7.9
2011,95,12,13,428709,42.07,7.0
2008,107,0,13,427323,110.52,7.1
1997,129,0,11,426914,229.09,6.5
2000,106,7,11,425933,95.01,7.3
1984,105,0,10,423882,238.63,7.8
2010,108,2,10,423588,334.19,6.4
2002,113,7,13,423212,45.06,7.5
1986,120,7,13,421569,138.53,8.1
2012,93,3,10,421463,237.28,7.1
2014,123,0,11,421193,200.68,6.4
2011,109,0,11,420822,37.52,6.7
2013,107,5,13,420740,101.47,6.6
2006,84,5,13,420574,128.51,7.4
2018,118,0,11,420257,216.65,7.0
1982,115,2,10,418908,435.11,7.9
1992,130,7,13,418905,101.16,8.2
2016,116,7,11,418639,100.01,7.0
1973,122,12,13,418232,232.91,8.1
2011,154,0,11,416213,352.39,6.2
1999,95,5,13,415764,102.56,7.0
2021,163,0,11,415319,160.87,7.3
2005,86,3,10,415145,193.6,6.9
1986,89,2,13,414568,52.29,8.1
2004,120,0,13,414057,101.01,7.5
2003,101,5,11,413720,242.83,6.8
2009,149,0,11,413194,402.11,5.9
2019,152,0,11,412500,117.62,8.1
2007,128,0,11,411536,134.53,7.1
1985,97,5,13,410937,45.88,7.8
1958,128,15,10,409141,3.2,8.3
2009,170,5,11,408685,6.53,8.4
2013,98,3,10,408536,368.06,7.3
1939,102,2,10,408322,2.08,8.1
2005,143,2,10,408302,291.71,6.9
2004,119,3,10,408029,4.71,8.2
1984,160,4,13,408025,51.97,8.4
1979,94,5,13,407183,20.05,8.0
2008,85,0,11,407042,80.05,7.0
1997,129,7,13,406876,48.32,7.7
2003,109,0,13,406442,150.37,6.3
2019,108,5,11,406323,33.37,7.9
1990,162,6,13,405772,66.67,7.6
2001,144,0,13,404881,108.64,7.7
1997,134,3,11,404007,2.38,8.3
2013,130,0,11,400989,238.68,7.0
2019,209,4,13,400579,7.0,7.8
2010,92,5,11,399842,58.4,7.0
